User Input,Chatbot Response,Timestamp
hello,Hey,2025-03-11 21:19:52
bye,See you later,2025-03-11 21:19:59
hello,Nothing much,2025-03-11 21:31:26
hi,Nothing much,2025-03-11 21:31:33
hobby,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-11 21:31:45
what you know about,My purpose is to assist you,2025-03-11 21:32:05
your age,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2025-03-11 21:32:14
can you motivate me,My purpose is to assist you,2025-03-11 21:37:03
 motivate me,"I may not have personal preferences, but I can help you find movies based on your taste!",2025-03-11 21:37:15
suggest me some movies,"I may not have personal preferences, but I can help you find movies based on your taste!",2025-03-11 21:37:35
